Počet kritérií	40		Počet variant	40																																						
			Varianta																																							
Kritérium	Cíl	Váha	Varianta 1	Varianta 2	Varianta 3	Varianta 4	Varianta 5	Varianta 6	Varianta 7	Varianta 8	Varianta 9	Varianta 10	Varianta 11	Varianta 12	Varianta 13	Varianta 14	Varianta 15	Varianta 16	Varianta 17	Varianta 18	Varianta 19	Varianta 20	Varianta 21	Varianta 22	Varianta 23	Varianta 24	Varianta 25	Varianta 26	Varianta 27	Varianta 28	Varianta 29	Varianta 30	Varianta 31	Varianta 32	Varianta 33	Varianta 34	Varianta 35	Varianta 36	Varianta 37	Varianta 38	Varianta 39	Varianta 40
Kritérium 1	min	4,7 %	35	15	52	30	71	37	35	83	54	89	32	66	38	11	67	2	48	11	97	91	88	40	51	60	38	65	97	77	24	16	71	10	95	69	3	12	95	12	14	0
Kritérium 2	max	4,4 %	94	90	37	3	4	39	1	12	72	58	64	2	33	6	49	69	62	34	100	7	45	23	66	73	44	0	70	92	16	58	61	27	44	75	2	82	60	68	83	63
Kritérium 3	min	4,3 %	39	98	7	91	86	18	16	67	92	75	15	95	23	68	71	21	73	12	28	30	60	16	8	62	35	51	56	61	22	32	25	8	30	26	28	35	24	14	91	10
Kritérium 4	max	4,1 %	5	35	2	45	13	55	90	81	55	9	55	51	69	72	98	80	77	94	74	59	63	27	85	45	27	68	19	60	32	6	10	75	64	49	19	5	43	0	51	60
Kritérium 5	min	4,0 %	7	30	32	44	70	23	71	75	66	17	47	9	87	43	64	44	100	83	35	47	1	41	27	97	38	25	87	46	79	35	56	58	14	76	56	8	65	61	1	79
Kritérium 6	max	3,8 %	98	27	63	5	71	68	90	16	33	50	97	25	2	46	8	35	23	66	82	78	53	38	19	46	71	62	25	38	26	56	92	40	35	56	5	85	68	22	48	33
Kritérium 7	min	3,8 %	2	16	10	26	12	30	47	4	83	61	13	17	98	96	83	22	21	70	62	57	45	13	91	70	1	41	12	43	58	14	98	12	7	7	78	31	81	34	38	37
Kritérium 8	min	3,8 %	32	1	73	76	49	93	92	24	11	51	42	15	51	68	14	51	39	22	19	79	22	87	99	74	40	100	95	45	55	93	71	60	44	20	53	27	59	33	67	91
Kritérium 9	max	4,7 %	82	90	51	37	62	57	92	53	36	7	42	39	58	36	35	84	41	93	92	30	8	25	83	31	45	36	60	89	60	37	90	32	91	42	84	55	69	94	76	81
Kritérium 10	max	3,5 %	96	19	66	60	57	38	24	61	3	59	7	64	48	54	95	43	89	51	89	63	35	91	64	1	74	8	37	50	61	3	80	22	15	18	32	25	68	79	60	25
Kritérium 11	min	3,2 %	83	34	43	28	24	9	91	64	68	69	3	19	19	91	1	63	77	70	33	7	22	30	47	60	99	0	86	32	61	96	65	17	22	47	95	4	56	92	14	94
