Počet kritérií	50		Počet variant	100																																																																																																		
			Varianta																																																																																																			
Kritérium	Cíl	Váha	Varianta 1	Varianta 2	Varianta 3	Varianta 4	Varianta 5	Varianta 6	Varianta 7	Varianta 8	Varianta 9	Varianta 10	Varianta 11	Varianta 12	Varianta 13	Varianta 14	Varianta 15	Varianta 16	Varianta 17	Varianta 18	Varianta 19	Varianta 20	Varianta 21	Varianta 22	Varianta 23	Varianta 24	Varianta 25	Varianta 26	Varianta 27	Varianta 28	Varianta 29	Varianta 30	Varianta 31	Varianta 32	Varianta 33	Varianta 34	Varianta 35	Varianta 36	Varianta 37	Varianta 38	Varianta 39	Varianta 40	Varianta 41	Varianta 42	Varianta 43	Varianta 44	Varianta 45	Varianta 46	Varianta 47	Varianta 48	Varianta 49	Varianta 50	Varianta 51	Varianta 52	Varianta 53	Varianta 54	Varianta 55	Varianta 56	Varianta 57	Varianta 58	Varianta 59	Varianta 60	Varianta 61	Varianta 62	Varianta 63	Varianta 64	Varianta 65	Varianta 66	Varianta 67	Varianta 68	Varianta 69	Varianta 70	Varianta 71	Varianta 72	Varianta 73	Varianta 74	Varianta 75	Varianta 76	Varianta 77	Varianta 78	Varianta 79	Varianta 80	Varianta 81	Varianta 82	Varianta 83	Varianta 84	Varianta 85	Varianta 86	Varianta 87	Varianta 88	Varianta 89	Varianta 90	Varianta 91	Varianta 92	Varianta 93	Varianta 94	Varianta 95	Varianta 96	Varianta 97	Varianta 98	Varianta 99	Varianta 100
Kritérium 1	max	3,9 %	35	15	52	30	71	37	35	83	54	89	32	66	38	11	67	2	48	11	97	91	88	40	51	60	38	65	97	77	24	16	71	10	95	69	3	12	95	12	14	0	94	24	78	71	98	59	28	3	65	60	45	58	18	64	46	100	21	3	84	85	44	91	61	24	78	65	43	78	20	75	70	68	88	99	66	11	22	78	71	70	6	34	56	15	64	54	29	96	50	39	63	98	13	97	54	16	37	10	57	33
Kritérium 2	max	3,8 %	94	90	37	3	4	39	1	12	72	58	64	2	33	6	49	69	62	34	100	7	45	23	66	73	44	0	70	92	16	58	61	27	44	75	2	82	60	68	83	63	94	50	88	12	52	46	63	7	30	83	72	79	21	96	81	29	80	29	64	19	85	47	25	51	55	79	21	44	8	37	12	15	37	43	36	64	83	100	23	34	67	88	72	50	37	70	90	0	5	82	71	95	35	52	47	90	60	19	14	60
Kritérium 3	min	3,7 %	39	98	7	91	86	18	16	67	92	75	15	95	23	68	71	21	73	12	28	30	60	16	8	62	35	51	56	61	22	32	25	8	30	26	28	35	24	14	91	10	71	66	64	70	62	92	6	18	66	70	67	11	59	68	37	72	60	26	28	64	74	97	56	10	8	58	65	11	48	83	94	61	7	40	36	17	9	65	60	17	77	64	84	4	27	79	37	61	40	83	15	41	76	44	66	23	70	59	1	66
Kritérium 4	min	3,6 %	5	35	2	45	13	55	90	81	55	9	55	51	69	72	98	80	77	94	74	59	63	27	85	45	27	68	19	60	32	6	10	75	64	49	19	5	43	0	51	60	94	32	54	92	78	40	83	73	83	12	92	26	94	25	57	22	29	55	52	69	10	91	33	62	64	11	22	7	61	24	19	56	8	94	80	90	9	17	90	92	19	65	88	56	96	52	66	37	53	99	17	24	62	39	50	84	85	60	49	36
Kritérium 5	max	3,4 %	7	30	32	44	70	23	71	75	66	17	47	9	87	43	64	44	100	83	35	47	1	41	27	97	38	25	87	46	79	35	56	58	14	76	56	8	65	61	1	79	56	42	88	24	58	41	78	10	47	37	73	65	49	29	61	12	88	32	55	47	25	63	62	9	30	42	87	2	0	8	89	7	4	52	38	50	91	32	52	44	7	47	96	54	100	59	39	44	9	45	72	80	13	77	70	84	99	71	96	33
Kritérium 6	min	3,3 %	98	27	63	5	71	68	90	16	33	50	97	25	2	46	8	35	23	66	82	78	53	38	19	46	71	62	25	38	26	56	92	40	35	56	5	85	68	22	48	33	65	23	59	5	92	85	83	67	62	96	88	5	83	1	72	84	77	64	0	85	73	31	26	88	79	45	39	2	99	38	7	88	3	7	25	44	55	18	40	73	85	27	76	95	28	50	56	79	39	30	27	41	6	28	76	70	39	86	35	30
Kritérium 7	min	3,1 %	2	16	10	26	12	30	47	4	83	61	13	17	98	96	83	22	21	70	62	57	45	13	91	70	1	41	12	43	58	14	98	12	7	7	78	31	81	34	38	37	68	27	91	18	41	65	63	54	78	71	48	68	43	94	71	93	93	30	100	68	15	45	73	26	78	28	27	50	18	99	45	96	33	14	53	80	6	47	42	17	2	32	60	95	53	24	49	100	0	23	26	46	59	85	22	1	14	61	54	59
Kritérium 8	max	2,9 %	32	1	73	76	49	93	92	24	11	51	42	15	51	68	14	51	39	22	19	79	22	87	99	74	40	100	95	45	55	93	71	60	44	20	53	27	59	33	67	91	15	98	31	49	7	61	89	71	19	16	7	6	69	45	17	4	93	42	49	24	11	59	23	56	46	7	6	17	80	74	98	14	46	78	67	53	59	90	16	91	24	39	76	88	65	70	67	81	47	67	69	20	22	9	27	23	64	28	48	87
Kritérium 9	min	2,7 %	82	90	51	37	62	57	92	53	36	7	42	39	58	36	35	84	41	93	92	30	8	25	83	31	45	36	60	89	60	37	90	32	91	42	84	55	69	94	76	81	7	26	46	67	46	37	87	57	55	74	85	21	25	84	12	78	51	4	81	2	62	22	23	23	80	45	0	66	54	35	73	54	90	59	29	4	97	97	51	44	29	54	16	34	72	44	3	40	65	10	70	50	65	67	35	59	46	46	77	89
Kritérium 10	min	2,6 %	96	19	66	60	57	38	24	61	3	59	7	64	48	54	95	43	89	51	89	63	35	91	64	1	74	8	37	50	61	3	80	22	15	18	32	25	68	79	60	25	93	0	25	77	85	69	38	6	79	55	39	57	58	60	32	24	38	61	24	79	10	5	35	64	73	63	95	21	72	99	44	96	96	10	27	38	8	80	96	16	99	7	63	94	97	33	69	40	70	2	48	80	42	36	100	58	15	90	2	58
