Počet kritérií	14		Počet variant	20																		
			Varianta																			
Kritérium	Cíl	Váha	BOSCH GSN58AWCV	Concept MP5015	GORENJE FH25EAW	GORENJE FH30DCW	GORENJE FN4172CW	HISENSE FV298N4ACE	LIEBHERR GNw 1660-7	SIGURO CF-D16W	SIGURO CF-O15W	SAMSUNG RZ32C7BFES9	ETA 275990000E	LORD F4 2.GN	HAIER HCE200D	ROMO RFC469C	PHILCO PTF 862	CANDY CFU 050 EN	WHIRLPOOL WHM22113	SIGURO UF-D310W	SIGURO UF-A110W	SIGURO UF-D310S
Orientační cena (Kč)	min	10%	23 490	13 490	9 979	13 999	12 999	22 490	21 990	4 799	9 799	21 090	3 899	15 990	8 279	12 699	8 599	9 990	8 279	7 999	4 999	8 499
Objem (litrů)	max	8%	360	142	243	315	166	297	243	142	400	315	60	212	196	437	97	65	215	166	85	166
Energetická třída	max	7%	4	5	2	2	2	3	2	3	2	3	1	2	3	3	2	2	3	2	2	2
Spotřeba energie (kWh/rok)	min	6%	201	250	340	348	265	256	248	215	290	194	156	180	159	251	179	120	180	158	135	170
Hlučnost (dB)	min	5%	42	40	42	42	41	42	41	42	42	42	42	42	42	42	42	40	42	41	40	42
Mrazící výkon (kg/24h)	max	7%	22	23	10	15	10	14	16	15	24	20	5	16	18	21	10	6	20	16	10	16
Doba skladování při výpadku (h)	max	6%	24	20	10	15	14	36	23	24	29	24	10	12	12	16	18	8	15	15	14	14
Počet přihrádek	max	6%	8	5	6	5	6	5	4	5	5	5	3	6	5	5	4	2	6	4	3	4
Šířka (cm)	min	5%	70	59,5	57	83	54,5	65,5	55	85,4	90	60	48	60	57	115	55	45	118	60	50	57,5
Výška (cm)	min	5%	191	85	185,3	85	167	85,1	85	83,5	85	185,3	85	125	83,5	85,7	85	50	91	85	85	85
Hloubka (cm)	min	5%	78	70	64,4	63	64,4	63,9	67,2	55,7	69,8	68,7	45	57,5	66,5	67	62,3	50	70	66	55,7	65,5
Roční náklady na provoz (Kč)	min	7%	1 200	1 500	1 480	1 480	1 460	1 410	1 600	1 480	1 440	1 480	1 480	1 460	1 460	1 440	1 480	1 350	1 440	1 460	1 350	1 460
Délka záruky (měsíce)	max	7%	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	36	24	24	24	24
Hodnocení uživatelů (hvězdy)	max	5%	4,8	4,5	4,7	4,6	4,5	4,4	4,3	4,7	4,5	4,6	4,5	4,4	4,7	4,6	4,5	4,3	4,5	4,5	4,2	4,5
